Punishment	User ID	IPs and alts	Expires
BAN	hazardthefag	5.254.65.143	1472846790774
BAN	fuckitali	5.254.65.90	1472848104981
BAN	fuckitalianpigs	5.254.65.236	1472848094439
BAN	italianbastards	5.254.65.252	1472848078764
BAN	qwdeffrdwdsfd	5.254.65.108	1472847954455
BAN	maffopjy	177.158.212.180	1472930468113
BAN	oiamor	177.36.12.153	1472932002277
BAN	magiccandy	10.240.0.182	1472985346487
BAN	jesuink	10.240.0.110,187.78.246.140	1472987992548
BAN	neymissonbr	10.240.0.241,10.240.1.20,187.38.20.146,10.240.0.204,10.240.0.179	1472994035935
BAN	hhaaa	10.240.0.186	1473000354718
BAN	felipst	10.240.1.12,10.240.0.5	1473000575605
BAN	magicclash	187.57.66.212	1473512800148
